,end_station_name,end_station_id
6392608,N Shore Dr & Wainwright Dr,32259.0
2013,N Veitch St & 20th St N,31029.0
16926,N Veitch St & Key Blvd,31028.0
1469,N. Beauregard St. & Berkley St.,31928.0
17450,Nannie Helen Burroughs & Minnesota Ave NE,31704.0
6432,Nannie Helen Burroughs Ave & 49th St NE,31710.0
395,National Airport,31935.0
439,National Harbor Carousel,32423.0
46,Neal St & Trinidad Ave NE,31512.0
23452,Needwood Rd & Eagles Head Ct,32018.0
5309,New Dominion Pkwy & Fountain Dr,32212.0
4837,New Hampshire & Gallatin St NW,31418.0
1738,New Hampshire & Kirklynn Ave,32061.0
21331,New Hampshire & Lockwood,32089.0
162,New Hampshire Ave & 24th St NW,31275.0
36811,New Hampshire Ave & East-West Hwy,32412.0
29,New Hampshire Ave & T St NW,31229.0
224,New Hampshire Ave & Ward Pl NW,31212.0
192,New Jersey Ave & F St NW,31655.0
5251500,New Jersey Ave & H St SE,31828.0
3197981,New Jersey Ave & K St NW,31642.0
43,New Jersey Ave & N St NW/Dunbar HS,31636.0
730,New Jersey Ave & R St NW,31509.0
509,New York Ave & 15th St NW,31222.0
211,New York Ave & Hecht Ave NE,31518.0
5995,Norfolk & Rugby Ave,32028.0
345,Norfolk Ave & Fairmont St,32000.0
5224593,North Bethesda Metro,32075.0
4825784,North Capitol & K St NE,31675.0
80,North Capitol & R St NE,31527.0
163,North Capitol St & F St NW,31624.0
587,North Capitol St & G Pl NE,31637.0
173968,North Shore & Cameron Crescent Dr/Crescent Apartments,32209.0
1758,North Shore Dr & Village Rd,32223.0
1882664,North Village and Park Garden,32256.0
80670,Northwestern High School,32411.0
4329,Oak Leaf & Lockwood,32094.0
5292,Offutt Ln & Chevy Chase Dr,32029.0
999,Oglethorpe St & 42nd Ave,32408.0
275,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240.0
49,Oklahoma Ave & Benning Rd NE,31719.0
298,Oklahoma Ave & D St NE,31712.0
2208,Old Georgetown Rd & Southwick St,32039.0
1352035,Olde Crafts Dr and Cartwright Pl,32248.0
206768,Oxon Hill Park & Ride,32407.0
5161978,Park Pl & Rock Creek Church Rd NW,31137.0
118,Park Rd & Holmead Pl NW,31602.0
104257,Park Run & Onyx Dr,32229.0
165,Pennsylvania & Minnesota Ave SE,31805.0
26514,Pennsylvania Ave & Park Ave,32603.0
3253887,Penrose Sq/Columbia Pike & S Barton St,31971.0
720,Pentagon City Metro / 12th St & S Hayes St,31005.0
6119876,Pentagon Row Plaza / Army Navy Dr & Joyce St,31006.0
16659,Perry & 35th St,32404.0
3568,Pershing Dr & N George Mason Dr,31069.0
3027,Pershing Dr & Wayne St,31065.0
7533,Philadelphia & Maple Ave,32010.0
3214,Piccard & W Gude Dr,32033.0
8057247,Pimmit Dr & Idyl Ln,32264.0
8061231,Pimmit Dr & Los Pueblos Ln,32265.0
7399,Pleasant St & MLK Ave SE,31807.0
13770,Pooks Hill Rd & Linden Ave,32057.0
377,Potomac & M St NW,31295.0
56,Potomac & Pennsylvania Ave SE,31606.0
127,Potomac Ave & 35th St S,31052.0
511,Potomac Ave & 8th St SE,31635.0
665,Potomac Ave & Half St SW,31648.0
